Héraðsdóms	Héraðsdómur	nkee-s
Reykjavíkur	Reykjavík	nvee-s
6.	6.	ta
júní	júní	nkeo
2008	2008	ta
í	í	af
máli	mál	nheþ
nr.	nr.	ks
E-7823	e-7823	ta
/	/	pa
2006	2006	ta
:	:	pa

Áslaug	Áslaug	nven-s
Þorgeirsdóttir	Þorgeirsdóttir	nven-s

(	(	pa
Benedikt	Benedikt	nken-s
Ólafsson	Ólafsson	nken-s
hrl.	hrl.	ks
)	)	pa

gegn	gegn	af

Listaháskóla	Listaháskóli	nkeþ-s
Íslands	Ísland	nhee-s

(	(	pa
Sigurbjörn	Sigurbjörn	nken-s
Magnússon	Magnússon	nken-s
hrl.	hrl.	ks
)	)	pa

Ár	ár	nheo
2008	2008	ta
,	,	pk
föstudaginn	föstudagur	nkeog
6.	6.	ta
júní	júní	nkeo
,	,	pk
er	vera	sfg3en
á	á	af
dómþingi	dómþing	nheþ
Héraðsdóms	Héraðsdómur	nkee-s
Reykjavíkur	Reykjavík	nvee-s
,	,	pk
sem	sem	ct
háð	heyja	sþghen
er	vera	sfg3en
í	í	af
Dómhúsinu	Dómhús	nheþgs
við	við	af
Lækjartorg	Lækjartorg	nheo-s
af	af	af
Allani	Allan	nkeþ-s
Vagni	Vagn	nkeþ-s
Magnússyni	Magnússon	nkeþ-s
héraðsdómara	héraðsdómari	nkeþ
,	,	pk
ásamt	ásamt	af
meðdómsmönnunum	meðdómsmaður	nkfþg
Elínu	Elín	nveþ-s
Ólafsdóttur	Ólafsdóttir	nveþ-s
og	og	c
Jóni	Jón	nkeþ-s
Hjaltalín	Hjaltalín	nkeþ-s
Ólafssyni	Ólafsson	nkeþ-s
læknum	læknir	nkfþ
kveðinn	kveða	sþgken
upp	upp	aa
dómur	dómur	nken
í	í	af
málinu	mál	nheþg
nr.	nr.	ks
E-	e	x
7823/2006	7823/2006	ta

Áslaug	Áslaug	nven-s
Þorgeirsdóttir	Þorgeirsdóttir	nven-s

(	(	pa
Benedikt	Benedikt	nken-s
Ólafsson	Ólafsson	nken-s
hrl.	hrl.	ks
)	)	pa

gegn	gegn	af

Listaháskóla	Listaháskóli	nkeþ-s
Íslands	Ísland	nhee-s

(	(	pa
Stefán	Stefán	nken-s
A.	A.	ks
Svensson	Svensson	nken-s
hdl.	hdl.	ks
)	)	pa

Mál	mál	nhen
þetta	þessi	fahen
,	,	pk
sem	sem	ct
dómtekið	dómtaka	sþghen
var	vera	sfg3eþ
28.	28.	ta
maí	maí	nkeo
sl.	sl.	ks
,	,	pk
er	vera	sfg3en
höfðað	höfða	sþghen
með	með	af
stefnu	stefna	nveþ
birtri	birta	sþgveþ
15.	15.	ta
desember	desember	nkeo
2006	2006	ta
.	.	pl

Stefnandi	stefnandi	nken
er	vera	sfg3en
Áslaug	Áslaug	nven-s
Þorgeirsdóttir	Þorgeirsdóttir	nven-s
,	,	pk
Nygaardsvej	Nygaardsvej	n----s
49b	49b	ta
,	,	pk
Kaupmannahöfn	Kaupmannahöfn	nveþ-s
.	.	pl

Stefndi	stefndur	lkenvf
er	vera	sfg3en
Listaháskóli	Listaháskóli	nken-s
Íslands	Ísland	nhee-s
,	,	pk
Skipholti	Skipholt	nheþ-s
1	1	ta
,	,	pk
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Dómkröfur	dómkrafa	nvfn
stefnanda	stefnandi	nkee
eru	vera	sfg3fn
þær	hún	fpvfn
að	að	c
stefndi	stefndur	lkenvf
greiði	greiða	svg3en
henni	hún	fpveþ
15.414.976	15.414.976	ta
krónur	króna	nvfo
ásamt	ásamt	af
4,5%	4,5%	tp
ársvöxtum	ársvextir	nkfþ
af	af	af
14.662.516	14.662.516	ta
krónum	króna	nvfþ
frá	frá	af
19.	19.	ta
janúar	janúar	nkeþ
2001	2001	ta
til	til	af
1.	1.	ta
maí	maí	nkee
2001	2001	ta
en	en	c
af	af	af
15.414.976	15.414.976	ta
krónum	króna	nvfþ
frá	frá	af
þeim	sá	fakeþ
degi	dagur	nkeþ
til	til	af
16.	16.	ta
janúar	janúar	nkee
2007	2007	ta
en	en	c
með	með	af
dráttarvöxtum	dráttarvextir	nkfþ
skv.	skv.	ks
9.	9.	ta
gr.	gr.	ks
laga	lag	nhfe
nr.	nr.	ks
38/2001	38/2001	ta
um	um	af
vexti	vöxtur	nkfo
og	og	c
verðtryggingu	verðtrygging	nveo
frá	frá	af
þeim	sá	fakeþ
degi	dagur	nkeþ
til	til	af
greiðsludags	greiðsludagur	nkee
.	.	pl

Til	til	af
vara	vari	nkee
er	vera	sfg3en
þess	það	fphee
krafist	krefja	sþmhen
að	að	c
stefnandi	stefnandi	nken
greiði	greiða	svg3en
stefnanda	stefnandi	nkeþ
5.639.965	5.639.965	ta
krónur	króna	nvfo
ásamt	ásamt	af
4,5%	4,5%	tp
ársvöxtum	ársvextir	nkfþ
af	af	af
4.887.505	4.887.505	ta
krónum	króna	nvfþ
frá	frá	af
19.	19.	ta
janúar	janúar	nkeþ
2001	2001	ta
til	til	af
1.	1.	ta
maí	maí	nkee
2001	2001	ta
en	en	c
af	af	af
5.639.965	5.639.965	ta
krónum	króna	nvfþ
frá	frá	af
þeim	sá	fakeþ
degi	dagur	nkeþ
til	til	af
16.	16.	ta
janúar	janúar	nkee
2007	2007	ta
en	en	c
með	með	af
dráttarvöxtum	dráttarvextir	nkfþ
skv.	skv.	ks
9.	9.	ta
gr.	gr.	ks
laga	lag	nhfe
nr.	nr.	ks
38/2001	38/2001	ta
um	um	af
vexti	vöxtur	nkfo
og	og	c
verðtryggingu	verðtrygging	nveo
frá	frá	af
þeim	sá	fakeþ
degi	dagur	nkeþ
til	til	af
greiðsludags	greiðsludagur	nkee
.	.	pl

Til	til	af
þrautavara	þrautavari	nkee
er	vera	sfg3en
þess	það	fphee
krafist	krefja	sþmhen
að	að	c
stefndi	stefndur	lkenvf
greiði	greiða	svg3en
stefnanda	stefnandi	nkeþ
4.680.078	4.680.078	ta
krónur	króna	nvfo
ásamt	ásamt	af
4,5%	4,5%	tp
ársvöxtum	ársvextir	nkfþ
af	af	af
3.927.618	3.927.618	ta
krónum	króna	nvfþ
frá	frá	af
