Já	já	au
,	,	pk
svo	svo	aa
sterkur	sterkur	lkensf
að	að	c
ekkert	enginn	fohen
fær	fá	sfg3en
slitið	slíta	sþghen
hann	hann	fpkeo
.	.	pl

Þótt	þótt	c
dauðinn	dauði	nkeng
virðist	virða	svm3en
höggva	höggva	sng
á	á	af
hann	hann	fpkeo
þá	þá	aa
er	vera	sfg3en
svo	svo	aa
ekki	ekki	aa
.	.	pl

Því	það	fpheþ
dauðinn	dauði	nkeng
er	vera	sfg3en
ekki	ekki	aa
annað	annar	fohen
en	en	c
sem	sem	c
dimmt	dimmur	lhensf
og	og	c
þungt	þungur	lhensf
ský	ský	nhen
á	á	af
himni	himinn	nkeþ
lífsins	líf	nheeg
sem	sem	ct
hrekst	hrekja	sfm3en
fyrr	fyrr	aam
eða	eða	c
síðar	síðar	aam
undan	undan	af
þeirri	sá	faveþ
heitu	heitur	lveþvf
sól	sól	nveþ
sem	sem	ct
Guð	Guð	nken-s
lætur	láta	sfg3en
skína	skína	sng
á	á	af
okkur	ég	fp1fo
hverja	hver	foveo
stund	stund	nveo
og	og	c
gildir	gilda	sfg3en
einu	einn	foheþ
hvort	hvort	c
við	ég	fp1fn
sjáum	sjá	sfg1fn
hana	hún	fpveo
eða	eða	c
ekki	ekki	aa
.	.	pl

Hún	hún	fpven
er	vera	sfg3en
þarna	þarna	aa
eins	eins	aa
og	og	c
óþrjótandi	óþrjótandi	lkenof
eldsneytistankur	eldsneytistankur	nken
lífríkisins	lífríki	nheeg
.	.	pl

Okkur	ég	fp1fþ
er	vera	sfg3en
nóg	nógur	lhensf
að	að	cn
finna	finna	sng
yl	ylur	nkeo
hennar	hún	fpvee
.	.	pl

Sumarið	sumar	nheng
býður	bjóða	sfg3en
okkur	ég	fp1fþ
fylgd	fylgd	nveo
út	út	aa
í	í	af
ævintýri	ævintýri	nhfo
ævintýranna	ævintýri	nhfeg
:	:	pa
Lífið	líf	nheng
tekur	taka	sfg3en
að	að	af
sönnu	sannur	lheþsf
ótrúlegum	ótrúlegur	lvfþsf
breytingum	breyting	nvfþ
og	og	c
sumar	sumur	fovfn
ganga	ganga	sfg3fn
undrahratt	undrahratt	aa
fyrir	fyrir	af
sig	sig	fpvfo
en	en	c
aðrar	annar	fovfn
svo	svo	aa
hægt	hægt	aa
að	að	c
við	ég	fp1fn
sjáum	sjá	sfg1fn
þær	hún	fpvfo
aldrei	aldrei	aa
heldur	heldur	aam
aðeins	aðeins	aa
það	sá	faheo
sem	sem	ct
er	vera	sfg3en
.	.	pl

Já	já	au
,	,	pk
það	sá	fahen
sem	sem	ct
er	vera	sfg3en
í	í	af
þeirri	sá	faveþ
andrá	andrá	nveþ
sem	sem	ct
þýtur	þjóta	sfg3en
sem	sem	c
blær	blær	nken
í	í	af
trjánum	tré	nhfþg
og	og	c
fullkomnar	fullkomna	sfg3en
stundina	stund	nveog
sem	sem	ct
líður	líða	sfg3en
eins	eins	aa
og	og	c
kúnstpásan	kúnstpása	nveng
í	í	af
tónverkinu	tónverk	nheþg
eða	eða	c
punktur	punktur	nken
fyrir	fyrir	af
aftan	aftan	aa
eina	einn	foveo
af	af	af
mörgum	margur	lvfþsf
ódauðlegum	ódauðlegur	lvfþsf
setningum	setning	nvfþ
í	í	af
Njálssögu	Njálssaga	nveþ-s
.	.	pl

Það	það	fphen
er	vera	sfg3en
þessi	þessi	faven
stund	stund	nven
sem	sem	ct
er	vera	sfg3en
nánast	náið	aae
flogin	fljúga	sþgven
áður	áður	aa
en	en	c
hún	hún	fpven
sest	setja	sfm3en
-	-	pa
starfsöm	starfsamur	lvensf
stund	stund	nven
veraldar	veröld	nvee
sem	sem	ct
hvílist	hvíla	sfm3en
í	í	af
háttbundnum	háttbundinn	lkeþsf
takti	taktur	nkeþ
:	:	pa
Það	það	fphen
er	vera	sfg3en
hjartsláttur	hjartsláttur	nken
skaparans	skapari	nkeeg
.	.	pl

Og	og	c
manneskjan	manneskja	nveng
er	vera	sfg3en
í	í	af
heiminum	heimur	nkeþg
.	.	pl

Hún	hún	fpven
er	vera	sfg3en
og	og	aa
aldrei	aldrei	aa
eins	eins	aa
og	og	c
mitt	mitt	aa
í	í	af
kröftugum	kröftugur	lkeþsf
gróanda	gróandi	nkeþ
lífsins	líf	nheeg
þar	þar	aa
sem	sem	c
skaparinn	skapari	nkeng
syngur	syngja	sfg3en
af	af	af
lífs	líf	nhee
og	og	c
sálar	sál	nvee
kröftum	kraftur	nkfþ
og	og	c
kallar	kalla	sfg3en
okkur	ég	fp1fo
fram	fram	aa
á	á	af
vettvang	vettvangur	nkeo
dagsins	dagur	nkeeg
.	.	pl

Skynjar	skynja	sfg3en
dynjandi	dynjandi	lkeoof
æðaslátt	æðasláttur	nkeo
andartaksins	andartak	nheeg
hvort	hvort	c
heldur	heldur	aam
í	í	af
