Illmennska	illmennska	nven
Holbergs	Holberg	nkee-s
er	vera	sfg3en
meðfædd	meðfæddur	lvensf
og	og	c
vandkvæðum	vandkvæði	nhfþ
bundið	binda	sþghen
að	að	cn
hafa	hafa	sng
hemil	hemill	nkeo
á	á	af
slíkum	slíkur	fbkfþ
brotamönnum	brotamaður	nkfþ
með	með	af
hefðbundnum	hefðbundinn	lhfþsf
refsiviðurlögum	refsiviðurlög	nhfþ
.	.	pl

Eina	einn	lvenvf
lausnin	lausn	nveng
er	vera	sfg3en
útilokun	útilokun	nven
eða	eða	c
aftaka	aftaka	nven
.	.	pl

Að	að	af
sumu	sumur	foheþ
leyti	leyti	nheþ
líkist	líkja	sfm3en
Holberg	Holberg	nken-s
þeirri	sá	faveþ
mynd	mynd	nveþ
sem	sem	ct
líffræðilega	líffræðilega	aa
sinnaðir	sinnaður	lkfnsf
afbrotafræðingar	afbrotafræðingur	nkfn
drógu	draga	sfg3fþ
upp	upp	aa
af	af	af
brotamönnum	brotamaður	nkfþ
í	í	af
lok	lok	nhfo
19.	19.	ta
aldar	öld	nvee
.	.	pl

Afbrot	afbrot	nhfn
eru	vera	sfg3fn
arfgengt	arfgengur	lhensf
fyrirbæri	fyrirbæri	nhen
og	og	c
sumir	sumur	fokfn
brotamenn	brotamaður	nkfn
eru	vera	sfg3fn
«	«	pg
fæddir	fæddur	sþgkfn
afbrotamenn	afbrotamaður	nkfn
»	»	pg
.	.	pl

Í	í	af
ákveðnum	ákveðinn	lhfþsf
tilfellum	tilfelli	nhfþ
er	vera	sfg3en
í	í	af
raun	raun	nveþ
ekkert	enginn	foheo
hægt	hægur	lhensf
að	að	cn
gera	gera	sng
í	í	af
málum	mál	nhfþ
þeirra	hann	fpkfe
nema	nema	c
taka	taka	sng
þá	hann	fpkfo
úr	úr	af
umferð	umferð	nveþ
eða	eða	c
einfaldlega	einfaldlega	aa
af	af	af
lífi	líf	nheþ
(	(	pa
sjá	sjá	sng
til	til	af
dæmis	dæmi	nhee
Garofalo	Garofalo	n----s
,	,	pk
1914	1914	ta
)	)	pa
.	.	pl

Erfðafræðilegar	erfðafræðilegur	lvfnsf
rannsóknir	rannsókn	nvfn
nútímans	nútími	nkeeg
á	á	aa
til	til	af
dæmis	dæmi	nhee
ofbeldishneigð	ofbeldishneigð	nveþ
eiga	eiga	sfg3fn
sér	sig	fpvfþ
einnig	einnig	aa
samsvörun	samsvörun	nveo
í	í	af
nálgun	nálgun	nveþ
af	af	af
þessu	þessi	faheþ
tagi	tag	nheþ
(	(	pa
Reid	Reid	n----s
,	,	pk
2006	2006	ta
)	)	pa
.	.	pl

Mörkin	mark	nhfng
milli	milli	af
brotamanna	brotamaður	nkfe
og	og	c
annarra	annar	fokfe
eru	vera	sfg3fn
þó	þó	aa
oft	oft	aa
ekki	ekki	aa
svona	svona	aa
skörp	skarpur	lhfnsf
í	í	af
veruleikanum	veruleiki	nkeþg
og	og	c
munurinn	munur	nkeng
getur	geta	sfg3en
stundum	stundum	aa
verið	vera	sþghen
óþægilega	óþægilega	aa
lítill	lítill	lkensf
.	.	pl

Í	í	af
sagnaheiminum	sagnaheimur	nkeþg
og	og	c
sums	sumur	fokee
staðar	staður	nkee
í	í	af
vísindaheiminum	vísindaheimur	nkeþg
er	vera	sfg3en
munurinn	munur	nkeng
þó	þó	aa
alveg	alveg	aa
skýr	skýr	lkensf
.	.	pl

Heiðvirðir	heiðvirður	lkfnsf
borgarar	borgari	nkfn
eru	vera	sfg3fn
allt	allur	fohen
annarrar	annar	fovee
tegundar	tegund	nvee
en	en	c
brotamenn	brotamaður	nkfn
.	.	pl

Eðli	eðli	nhen
dópsalans	dópsali	nkeeg
Eiturlyfjasalinn	eiturlyfjasali	nkeng
er	vera	sfg3en
ekki	ekki	aa
fjarri	fjarri	af
myndinni	mynd	nveþg
af	af	af
brotamanninum	brotamaður	nkeþg
sem	sem	ct
lýst	lýsa	sþghen
er	vera	sfg3en
hér	hér	aa
að	að	aa
framan	framan	aa
og	og	c
birtist	birta	sfm3en
í	í	af
sumum	sumur	fovfþ
bóka	bók	nvfe
Arnaldar	Arnaldur	nkee-s
.	.	pl

Herbert	Herbert	nken-s
dópsali	dópsali	nken
í	í	af
Dauðarósum	dauðarós	nvfþ-s
er	vera	sfg3en
samviskulaus	samviskulaus	lkensf
fantur	fantur	nken
.	.	pl

Útlendur	útlendur	lkensf
í	í	af
háttum	háttur	nkfþ
enda	enda	c
koma	koma	sfg3fn
fíkniefnin	fíkniefni	nhfng
erlendis	erlendis	aa
frá	frá	aa
.	.	pl

Eiturlyfin	eiturlyf	nhfng
ógna	ógna	sfg3fn
æsku	æska	nveþ
landsins	land	nheeg
og	og	c
þar	þar	aa
með	með	af
framtíð	framtíð	nveþ
þjóðarinnar	þjóð	nveeg
.	.	pl

Herbert	Herbert	nken-s
er	vera	sfg3en
alþjóðlegur	alþjóðlegur	lkensf
glæpon	glæpon	nken
,	,	pk
slettir	sletta	sfg3en
mikið	mikið	aa
amerísku	ameríska	nveþ
(	(	pa
motherfukker	motherfukker	e
man	man	e
)	)	pa
og	og	c
lifir	lifa	sfg3en
menningarsnauðu	menningarsnauður	lheþsf
lífi	líf	nheþ
.	.	pl

Hann	hann	fpken
býr	búa	sfg3en
í	í	af
stóru	stór	lheþsf
einbýlishúsi	einbýlishús	nheþ
í	í	af
Breiðholti	Breiðholt	nheþ-s
þar	þar	aa
sem	sem	c
allt	allur	fohen
er	vera	sfg3en
óklárað	ókláraður	lhensf
.	.	pl

Ekki	ekki	aa
eins	eins	aa
og	og	c
heimili	heimili	nhfn
eru	vera	sfg3fn
flest	margur	lhfnse
.	.	pl

Herbert	Herbert	nken-s
stjórnar	stjórna	sfg3en
