á	á	aa
m.	m.	ks
40	40	ta
eða	eða	c
50	50	ta
%	%	m
af	af	af
launum	laun	nhfþ
háskólakennara	háskólakennari	nkfe
)	)	pa
og	og	c
hver	hver	fsken
er	vera	sfg3en
hlutur	hlutur	nken
þess	sá	fakee
svo	svo	aa
kallaða	kallaður	lkeevf
«	«	pg
marginal	marginal	e
»	»	pg
kostnaðar	kostnaður	nkee
sem	sem	ct
er	vera	sfg3en
það	sá	fahen
sem	sem	ct
við	ég	fp1fn
hér	hér	aa
oftast	oft	aae
skynjum	skynja	sfg1fn
sem	sem	ct
hið	hinn	gheo
eiginlega	eiginlegur	lheovf
rannsóknafé	rannsóknafé	nheo
?	?	pl

Er	vera	sfg3en
ekki	ekki	aa
sannleikurinn	sannleikur	nkeng
sá	sá	faken
að	að	c
miðað	miða	sþghen
við	við	af
fólksfjölda	fólksfjöldi	nkeo
verjum	verja	sfg1fn
við	ég	fp1fn
mjög	mjög	aa
miklu	mikill	lheþsf
opinberu	opinber	lheþsf
fé	fé	nheþ
,	,	pk
sem	sem	ct
flokkast	flokka	sfm3en
til	til	af
rannsókafjár	rannsókafé	nhee
,	,	pk
á	á	af
vissum	viss	lhfþsf
sviðum	svið	nhfþ
(	(	pa
hafrannsóknir	hafrannsóknir	nvfn
og	og	c
fiskiðnaður	fiskiðnaður	nken
t.d.	t.d.	ks
-	-	pa
ekki	ekki	aa
er	vera	sfg1en
ég	ég	fp1en
að	að	cn
gagnrýna	gagnrýna	sng
það	það	fpheo
)	)	pa
,	,	pk
en	en	c
á	á	af
langflestum	langflestur	lhfþse
sviðum	svið	nhfþ
vísinda	vísindi	nhfe
(	(	pa
sem	sem	ct
eru	vera	sfg3fn
í	í	af
raun	raun	nveþ
jafnmörg	jafnmargur	lhfnsf
og	og	c
hjá	hjá	af
stórþjóðum	stórþjóð	nvfþ
)	)	pa
verjum	verja	sfg1fn
við	ég	fp1fn
mjög	mjög	aa
litlu	lítill	lheþsf
fé	fé	nheþ
,	,	pk
og	og	c
vegna	vegna	af
þess	það	fphee
að	að	c
marginalkostnaður	marginalkostnaður	nken
er	vera	sfg3en
vanmetinn	vanmeta	sþgken
eða	eða	c
ekki	ekki	aa
tekið	taka	sþghen
tillit	tillit	nhen
til	til	af
hans	hann	fpkee
og	og	c
rannsóknasjóðir	rannsóknasjóður	nkfn
eru	vera	sfg3fn
í	í	af
svelti	svelti	nheþ
upplifa	upplifa	sfg3fn
mjög	mjög	aa
margir	margur	lkfnsf
í	í	af
rannsóknum	rannsókn	nvfþ
(	(	pa
með	með	af
réttu	réttur	lheþsf
)	)	pa
stöðuna	staða	nveog
sem	sem	ct
afar	afar	aa
slæma	slæmur	lveosf
og	og	c
finnst	finna	sfm3en
fáránlegt	fáránlegur	lhensf
að	að	cn
sjá	sjá	sng
því	það	fpheþ
haldið	halda	sþghen
fram	fram	aa
í	í	af
útreikningum	útreikningur	nkfþ
að	að	c
