Athugasemdir	athugasemd	nvfn
við	við	af
lagafrumvarp	lagafrumvarp	nheo
þetta	þessi	faheo
.	.	pl

Í	í	af
3.	3.	ta
mgr.	mgr.	ks
76.	76.	ta
gr.	gr.	ks
stjórnarskrár	stjórnarskrá	nvee
lýðveldisins	lýðveldi	nheeg
Íslands	Ísland	nhee-s
,	,	pk
nr.	nr.	ks
33/1944	33/1944	ta
,	,	pk
sbr.	sbr.	ks
14.	14.	ta
gr.	gr.	ks
stjórnskipunarlaga	stjórnskipunarlög	nhfe
nr.	nr.	ks
97/1995	97/1995	ta
,	,	pk
segir	segja	sfg3en
að	að	c
börnum	barn	nhfþ
skuli	skulu	svg3en
tryggja	tryggja	sng
í	í	af
lögum	lag	nhfþ
þá	sá	faveo
vernd	vernd	nveo
og	og	c
umönnun	umönnun	nveo
sem	sem	ct
velferð	velferð	nven
þeirra	það	fphfe
krefst	krefja	sfm3en
.	.	pl

Í	í	af
greinargerðinni	greinargerð	nveþg
með	með	af
frumvarpi	frumvarp	nheþ
til	til	af
stjórnskipunarlaga	stjórnskipunarlög	nhfe
,	,	pk
sem	sem	ct
varð	verða	sfg3eþ
að	að	af
fyrrnefndum	fyrrnefndur	lhfþsf
stjórnskipunarlögum	stjórnskipunarlög	nhfþ
,	,	pk
sagði	segja	sfg3eþ
svo	svo	aa
í	í	af
athugasemdum	athugasemd	nvfþ
við	við	af
3.	3.	ta
mgr.	mgr.	ks
14.	14.	ta
gr.	gr.	ks
frumvarpsins	frumvarp	nheeg
,	,	pk
sem	sem	ct
varð	verða	sfg3eþ
3.	3.	ta
mgr.	mgr.	ks
76.	76.	ta
gr.	gr.	ks
stjórnarskrárinnar	stjórnarskrá	nveeg
:	:	pa
«	«	pg
Í	í	af
3.	3.	ta
mgr.	mgr.	ks
14.	14.	ta
gr.	gr.	ks
er	vera	sfg3en
ákvæði	ákvæði	nhen
sem	sem	ct
á	eiga	sfg3en
sér	sig	fpheþ
ekki	ekki	aa
hliðstæðu	hliðstæða	nveo
í	í	af
núgildandi	núgildandi	lkeþof
mannréttindakafla	mannréttindakafli	nkeþ
stjórnarskrárinnar	stjórnarskrá	nveeg
,	,	pk
en	en	c
í	í	af
því	það	fpheþ
er	vera	sfg3en
mælt	mæla	sþghen
fyrir	fyrir	aa
um	um	af
að	að	c
með	með	af
lögum	lag	nhfþ
beri	bera	svg3en
að	að	cn
tryggja	tryggja	sng
börnum	barn	nhfþ
þá	sá	faveo
vernd	vernd	nveo
og	og	c
umönnun	umönnun	nveo
,	,	pk
sem	sem	ct
velferð	velferð	nven
þeirra	það	fphfe
krefst	krefja	sfm3en
.	.	pl

Með	með	af
þessu	þessi	faheþ
ákvæði	ákvæði	nheþ
,	,	pk
sem	sem	ct
felur	fela	sfg3en
í	í	af
sér	sig	fpheþ
vissa	viss	lveosf
stefnuyfirlýsingu	stefnuyfirlýsing	nveo
og	og	c
sækir	sækja	sfg3en
m.a.	m.a.	ks
fyrirmynd	fyrirmynd	nveo
í	í	af
3.	3.	ta
gr.	gr.	ks
samningsins	samningur	nkeeg
um	um	af
réttindi	réttindi	nhfo
barna	barn	nhfe
og	og	c
að	að	af
nokkru	nokkur	foheþ
einnig	einnig	aa
í	í	af
