Málverkafölsunarmálið	málverkafölsunarmál	nheng

Menntamálaráðherra	menntamálaráðherra	nken
ætlar	ætla	sfg3en
að	að	cn
skipa	skipa	sng
starfshóp	starfshópur	nkeo
til	til	af
að	að	cn
fara	fara	sng
yfir	yfir	af
málverkafölsunarmálið	málverkafölsunarmál	nheog
og	og	c
segir	segja	sfg3en
brýnt	brýnn	lheosf
að	að	cn
ákveða	ákveða	sng
hvað	hver	fsheo
eigi	eiga	svg3en
að	að	cn
gera	gera	sng
við	við	af
fölsuð	falsaður	lhfosf
málverk	málverk	nhfo
sem	sem	ct
séu	vera	svg3fn
í	í	af
umferð	umferð	nveþ
.	.	pl

Sýknudómur	sýknudómur	nken
Hæstaréttar	Hæstiréttur	nkee-s
breyti	breyta	svg3en
engu	enginn	foheþ
þar	þar	aa
um	um	aa
.	.	pl

Stjórn	stjórn	nven
Sambands	Samband	nhee-s
íslenskra	íslenskur	lkfesf
myndlistarmanna	myndlistarmaður	nkfe
harmar	harma	sfg3en
þær	sá	favfo
ömurlegu	ömurlegur	lvfovf
afleiðingar	afleiðing	nvfo
sem	sem	ct
úrskurður	úrskurður	nken
Hæstaréttar	Hæstiréttur	nkee-s
í	í	af
málverkafölsunarmálinu	málverkafölsunarmál	nheþg
hefur	hafa	sfg3en
fyrir	fyrir	af
íslenska	íslenskur	lveosf
myndlist	myndlist	nveo
.	.	pl

Stjórnin	stjórn	nveng
segir	segja	sfg3en
í	í	af
ályktun	ályktun	nveþ
að	að	c
það	það	fphen
sé	vera	svg3en
gríðarlegt	gríðarlegur	lhensf
áfall	áfall	nhen
fyrir	fyrir	af
íslenskt	íslenskur	lheosf
myndlistarlíf	myndlistarlíf	nheo
að	að	c
verkin	verk	nhfng
sem	sem	ct
um	um	aa
ræðir	ræða	sfg3en
fái	fá	svg3fn
nú	nú	aa
heimfararleyfi	heimfararleyfi	nheo
sem	sem	ct
ófölsuð	ófalsaður	lhfnsf
,	,	pk
en	en	c
flestum	margur	lkfþse
blandist	blanda	svm3fn
hugur	hugur	nken
um	um	af
að	að	c
þau	það	fphfn
séu	vera	svg3fn
að	að	af
stórum	stór	lkeþsf
ef	ef	c
ekki	ekki	aa
öllum	allur	fokeþ
hluta	hluti	nkeþ
fölsuð	falsaður	lhfnsf
.	.	pl

Það	það	fphen
hljóti	hljóta	svg3en
að	að	cn
vera	vera	sng
verkefni	verkefni	nhen
yfirvalda	yfirvald	nhfe
að	að	cn
fá	fá	sng
úr	úr	af
því	það	fpheþ
skorið	skera	sþghen
hvort	hvort	c
um	um	af
falsanir	fölsun	nvfo
sé	vera	svg3en
að	að	cn
ræða	ræða	sng
eða	eða	c
ekki	ekki	aa
,	,	pk
burtséð	burtséð	aa
frá	frá	af
því	það	fpheþ
hver	hver	fsken
framdi	fremja	sfg3eþ
glæpinn	glæpur	nkeog
.	.	pl

Stjórnin	stjórn	nveng
skorar	skora	sfg3en
á	á	af
stjórnvöld	stjórnvald	nhfo
að	að	cn
finna	finna	sng
færa	fær	lveosf
leið	leið	nveo
til	til	af
að	að	cn
koma	koma	sng
fölsuðu	falsaður	lhfþvf
listaverkunum	listaverk	nhfþg
úr	úr	af
umferð	umferð	nveþ
.	.	pl

Valgerður	Valgerður	nven-s
Jóhannsdóttir	Jóhannsdóttir	nven-s
:	:	pa
«	«	pg
Þorgerður	Þorgerður	nven-s
Katrín	Katrín	nven-s
Gunnarsdóttir	Gunnarsdóttir	nven-s
,	,	pk
menntamálaráðherra	menntamálaráðherra	nken
,	,	pk
hver	hver	fshfn
eru	vera	sfg3fn
þín	þinn	fehfn
viðbrögð	viðbragð	nhfn
við	við	af
þessari	þessi	faveþ
áskorun	áskorun	nveþ
myndlistarmanna	myndlistarmaður	nkfe
?	?	pl
»	»	pg

Þorgerður	Þorgerður	nven-s
Katrín	Katrín	nven-s
Gunnarsdóttir	Gunnarsdóttir	nven-s
,	,	pk
menntamálaráðherra	menntamálaráðherra	nken
:	:	pa
«	«	pg
Mín	minn	fehfn
viðbrögð	viðbragð	nhfn
eru	vera	sfg3fn
þau	það	fphfn
að	að	c
fyrir	fyrir	af
þó	þó	aa
nokkru	nokkur	foheþ
síðan	síðan	aa
að	að	aa
þá	þá	aa
ákvað	ákveða	sfg1eþ
ég	ég	fp1en
að	að	c
það	það	fphen
yrði	verða	svg3eþ
farið	fara	sþghen
mjög	mjög	aa
gaumgæfilega	gaumgæfilega	aa
yfir	yfir	af
þetta	þessi	faheo
mál	mál	nheo
,	,	pk
yfir	yfir	af
málverkafölsunarmálið	málverkafölsunarmál	nheog
og	og	c
hef	hafa	sfg1en
þegar	þegar	aa
ákveðið	ákveða	sþghen
það	það	fpheo
að	að	cn
skipa	skipa	sng
starfshóp	starfshópur	nkeo
sem	sem	ct
að	að	c
fer	fara	sfg3en
yfir	yfir	af
þetta	þessi	faheo
mál	mál	nheo
með	með	af
höfundarrétt	höfundarréttur	nkeo
í	í	af
hug	hugur	nkeþ
,	,	pk
með	með	af
það	það	fpheo
hvernig	hvernig	aa
eigi	eiga	svg3en
að	að	cn
skrá	skrá	sng
málverk	málverk	nhfo
sér	sig	fpheþ
í	í	af
lagi	lag	nheþ
gömlu	gamall	lkfevf
meistaranna	meistari	nkfeg
til	til	af
framtíðar	framtíð	nvee
og	og	c
þá	þá	aa
um	um	af
leið	leið	nveo
hvernig	hvernig	aa
við	ég	fp1fn
komum	koma	sfg1fn
til	til	aa
með	með	af
að	að	cn
setja	setja	sng
niður	niður	aa
listasöguna	listasaga	nveog
því	það	fpheþ
þetta	þessi	fahen
er	vera	sfg3en
náttúrulega	náttúrulega	aa
gríðarlega	gríðarlega	aa
umfangsmikið	umfangsmikill	lhensf
mál	mál	nhen
,	,	pk
þýðingarmikið	þýðingarmikill	lhensf
,	,	pk
skiptir	skipta	sfg3en
okkur	ég	fp1fo
mjög	mjög	aa
miklu	mikill	lheþsf
til	til	af
framtíðar	framtíð	nvee
.	.	pl
»	»	pg

Valgerður	Valgerður	nven-s
:	:	pa
«	«	pg
Þannig	þannig	aa
að	að	aa
þó	þó	aa
að	að	c
Hæstiréttur	Hæstiréttur	nken-s
