Verslóritgerðir	Verslóritgerð	nvfn-s
2002	2002	ta
,	,	pk
strákar	strákur	nkfn

Er	vera	sfg3en
ungt	ungur	lhensf
fólk	fólk	nhen
auðveld	auðveldur	lvensf
bráð	bráð	nven
óprútinna	óprútinn	lkfesf
auglýsenda	auglýsandi	nkfe
?	?	pl

Í	í	af
lífsgæðakapphlaupi	lífsgæðakapphlaup	nheþ
nútímans	nútími	nkeeg
verða	verða	sfg3fn
auglýsendur	auglýsandi	nkfn
sífellt	sífellt	aa
bíræfnari	bíræfinn	lkfnvm
.	.	pl

Samkeppnin	samkeppni	nveng
um	um	af
neytendur	neytandi	nkfo
fer	fara	sfg3en
harðnandi	harðna	slg
og	og	c
auglýsingastofur	auglýsingastofa	nvfn
skjóta	skjóta	sfg3fn
upp	upp	aa
kollinum	kollur	nkeþg
,	,	pk
hver	hver	foven
á	á	aa
eftir	eftir	af
annarri	annar	foveþ
.	.	pl

Fyrirtæki	fyrirtæki	nhfn
fara	fara	sfg3fn
áður	áður	aa
ótroðnar	ótroðinn	lvfosf
slóðir	slóð	nvfo
í	í	af
auglýsingum	auglýsing	nvfþ
sínum	sinn	fevfþ
og	og	c
ríður	ríða	sfg3en
oft	oft	aa
um	um	af
þverbak	þverbak	nheo
í	í	af
þeim	sá	fahfþ
efnum	efni	nhfþ
.	.	pl

Það	sá	fahen
sem	sem	ct
vekur	vekja	sfg3en
hins	hinn	fakee
vegar	vegur	nkee
mestan	mikill	lkeose
óhug	óhugur	nkeo
fólks	fólk	nhee
er	vera	sfg3en
hve	hve	aa
auglýsingum	auglýsing	nvfþ
er	vera	sfg3en
beint	beina	sþghen
í	í	af
æ	æ	aa
ríkari	ríkur	lkeþvm
mæli	mælir	nkeþ
til	til	af
ungs	ungur	lheesf
fólks	fólk	nhee
.	.	pl

Markhópurinn	markhópur	nkeng
verður	verða	sfg3en
stöðugt	stöðugt	aa
yngri	ungur	lkenvm
og	og	c
er	vera	sfg3en
það	það	fphen
mörgum	margur	lkfþsf
hið	hinn	ghen
mesta	mikill	lhenve
áhyggjuefni	áhyggjuefni	nhen
.	.	pl

Ungt	ungur	lhensf
fólk	fólk	nhen
er	vera	sfg3en
æðiáhrifagjarnt	æðiáhrifagjarn	lhensf
vegna	vegna	af
þess	það	fphee
á	á	af
hve	hve	aa
