Í	í	af
Vetrarbrautinni	Vetrarbraut	nveþgs
er	vera	sfg3en
að	að	cn
finna	finna	sng
risavaxin	risavaxinn	lhfosf
ryk-	rykský	kt
og	og	c
gasský	gasský	nhfo
.	.	pl

Efnið	efni	nheng
í	í	af
hverju	hver	foheþ
skýi	ský	nheþ
er	vera	sfg3en
nægilegt	nægilegur	lhensf
til	til	af
að	að	cn
mynda	mynda	sng
hundruð	hundrað	nhfo
stjarna	stjarna	nvfe
eins	eins	aa
og	og	c
sólina	sól	nveog
.	.	pl

Samkvæmt	samkvæmt	af
geimþokukenningunni	geimþokukenning	nveþg
má	mega	sfg3en
rekja	rekja	sng
upphaf	upphaf	nheo
sólkerfisins	sólkerfi	nheeg
okkar	ég	fp1fe
til	til	af
þess	sá	fahee
að	að	c
stjörnur	stjarna	nvfn
sprungu	springa	sfg3fþ
í	í	af
geimþokunni	geimþoka	nveþg
fyrir	fyrir	af
um	um	af
það	sá	faheo
bil	bil	nheo
4,6	4,6	ta
milljörðum	milljarður	nkfþ
ára	ár	nhfe
.	.	pl

Mynd	mynd	nven
eftir	eftir	af
William	William	n----s
K.	K.	ks
Hartmann	Hartmann	n----s
sem	sem	ct
á	eiga	sfg3en
að	að	cn
sýna	sýna	sng
uppruna	uppruni	nkeo
sólkerfisins	sólkerfi	nheeg
.	.	pl

Höggbylgja	höggbylgja	nven
frá	frá	af
sprengingunni	sprenging	nveþg
myndaði	mynda	sfg3eþ
hvirfla	hvirfill	nkfo
í	í	af
geimþokunni	geimþoka	nveþg
og	og	c
við	við	af
það	það	fpheo
fór	fara	sfg3eþ
geimþokan	geimþoka	nveng
að	að	cn
falla	falla	sng
saman	saman	aa
og	og	c
snúast	snúa	snm
hraðar	hratt	aam
og	og	c
hraðar	hratt	aam
.	.	pl

Hún	hún	fpven
flattist	fletja	sfm3eþ
út	út	aa
og	og	c
varð	verða	sfg3eþ
að	að	af
stórri	stór	lveþsf
skífu	skífa	nveþ
.	.	pl

Í	í	af
