Hann	hann	fpken
hafði	hafa	sfg3eþ
þegar	þegar	aa
hljóðritað	hljóðrita	sþghen
talsvert	talsverður	lheosf
af	af	af
efni	efni	nheþ
með	með	af
aðstoð	aðstoð	nveþ
Arons	Aron	nkee-s
Arnarsonar	Arnarson	nkee-s
og	og	c
hinna	hinn	gkfe
ýmsu	ýmis	fokfe
hljóðfæraleikara	hljóðfæraleikari	nkfe
hér	hér	aa
heima	heima	aa
.	.	pl

Þegar	þegar	c
út	út	aa
var	vera	sfg3eþ
komið	koma	sþghen
sendi	senda	sfg3eþ
hann	hann	fpken
demó	demó	nhfo
á	á	af
nokkur	nokkur	fohfo
útgáfufyrirtæki	útgáfufyrirtæki	nhfo
og	og	c
Say	Say	n----s
Dirty	Dirty	e
Records	Records	e
hringdu	hringja	sfg3fþ
til	til	af
baka	bak	nhfe
nánast	náið	aae
samdægurs	samdægurs	aa
og	og	c
buðu	bjóða	sfg3fþ
samning	samningur	nkeo
.	.	pl

Þegar	þegar	c
sá	sá	faken
var	vera	sfg3eþ
í	í	af
höfn	höfn	nveþ
var	vera	sfg3eþ
hafist	hefja	sþmhen
handa	hönd	nvfe
við	við	af
að	að	cn
púsla	púsla	sng
saman	saman	aa
plötu	plata	nveþ
og	og	c
Marcus	Marcus	n----s
MacKay	MacKay	n----s
(	(	pa
Snow	Snow	n----s
Patrol	Patrol	e
,	,	pk
Reindeer	Reindeer	n----s
Section	Section	e
,	,	pk
Zephers	Zephers	n----s
)	)	pa
fenginn	fá	sþgken
til	til	af
aðstoðar	aðstoð	nvee
við	við	af
það	það	fpheo
.	.	pl

Verkið	verk	nheng
var	vera	sfg3eþ
síðan	síðan	aa
hljóðblandað	hljóðblanda	sþghen
í	í	af
Geimsteini	Geimsteinn	nkeþ-s
af	af	af
Sigurði	Sigurður	nkeþ-s
H.	H.	ks
Guðmundssyni	Guðmundsson	nkeþ-s
(	(	pa
Hjálmar	Hjálmur	nkfn-s
)	)	pa
og	og	c
Gunnlaugi	Gunnlaugur	nkeþ-s
Lárussyni	Lárusson	nkeþ-s
(	(	pa
Brain	Brain	n----s
Police	Police	e
,	,	pk
Lights	Lights	n----s
on	on	e
the	the	e
Highway	Highway	e
)	)	pa
.	.	pl

Platan	plata	nveng
er	vera	sfg3en
gefin	gefa	sþgven
út	út	aa
undir	undir	af
listamannsnafninu	listamannsnafn	nheþg
Bela	Bela	n----s
og	og	c
kallast	kalla	sfm3en
Hole	Hole	n----s
and	and	e
Corner	Corner	e
.	.	pl

Hún	hún	fpven
inniheldur	innihalda	sfg3en
12	12	ta
lög	lag	nhfo
og	og	c
kassagítarinn	kassagítar	nkeng
er	vera	sfg3en
í	í	af
aðalhlutverki	aðalhlutverk	nheþ
.	.	pl

Tónlist	tónlist	nven
Bela	Bela	n----s
hefur	hafa	sfg3en
verið	vera	sþghen
líkt	líkt	aa
við	við	af
verk	verk	nhfo
snillinga	snillingur	nkfe
á	á	af
borð	borð	nheo
við	við	af
Nick	Nick	n----s
Drake	Drake	n----s
,	,	pk
Kings	Kings	n----s
of	of	e
Convenience	Convenience	e
og	og	c
John	John	n----s
Martyn	Martyn	n----s
.	.	pl

Platan	plata	nveng
kemur	koma	sfg3en
út	út	aa
mánudaginn	mánudagur	nkeog
19.	19.	ta
júní	júní	nkeo
en	en	c
undanfarinn	undanfari	nkeng
,	,	pk
smáskífan	smáskífa	nveng
«	«	pg
Ticket	Ticket	n----s
for	for	e
a	a	e
Train	Train	e
»	»	pg
,	,	pk
kemur	koma	sfg3en
út	út	aa
mánudaginn	mánudagur	nkeog
29.	29.	ta
maí	maí	nkeo
og	og	c
er	vera	sfg3en
fáanleg	fáanlegur	lvensf
á	á	af
www.itunes.com	www.itunes.com	v
,	,	pk
karmadownload.com	karmadownload.com	v
og	og	c
tonlist.is	tonlist.is	v
.	.	pl

Útgáfutónleikar	útgáfutónleikar	nkfn
fyrir	fyrir	af
Skotland	Skotland	nheo-s
verða	verða	sfg3fn
haldnir	halda	sþgkfn
í	í	af
Glasgow	Glasgow	n----s
14.	14.	ta
júní	júní	nkeo
,	,	pk
sem	sem	ct
hluti	hluti	nken
af	af	af
hinni	hinn	gveþ
virtu	virtur	lveþvf
West-end	West-end	n----s
listahátíð	listahátíð	nveþ
-	-	pa
sjá	sjá	sng
http://www.westendfestival.co.uk	http://www.westendfestival.co.uk	v

Bela	Bela	n----s
stefnir	stefna	sfg3en
síðan	síðan	aa
á	á	af
tónleikahald	tónleikahald	nheo
á	á	af
Íslandi	Ísland	nheþ-s
í	í	af
júlí	júlí	nkeþ
og	og	c
ágúst	ágúst	nkeþ
.	.	pl

Allar	allur	fovfo
nánari	náinn	lvfovm
upplýsingar	upplýsing	nvfo
gefur	gefa	sfg3en
Kristján	Kristján	nken-s
Már	Már	nken-s
í	í	af
síma	sími	nkeþ
8238777	8238777	ta
.	.	pl

Um	um	af
vefinn	vefur	nkeog

Það	það	fphen
er	vera	sfg3en
útgáfufélagið	útgáfufélag	nheng
Rimar	Rimi	nkfn-s
ehf	ehf	ks
-	-	pa
kt.	kt.	ks
690992-2729	690992-2729	ta
-	-	pa
sem	sem	ct
heldur	halda	sfg3en
úti	úti	aa
vefsíðunni	vefsíða	nveþg
dagur.net	dagur.net	v
.	.	pl

Rimar	Rimi	nkfn-s
ehf	ehf	ks
gefa	gefa	sfg3fn
út	út	aa
tvö	tveir	tfhfo
blöð	blað	nhfo
sem	sem	ct
mynda	mynda	sfg3fn
vikulega	vikulegur	lveosf
útgáfu	útgáfa	nveo
saman	saman	aa
.	.	pl

Annars	annar	fokee
vegar	vegur	nkee
Norðurslóð	Norðurslóð	nveo-s
sem	sem	ct
kemur	koma	sfg3en
út	út	aa
mánaðarlega	mánaðarlega	aa
og	og	c
svo	svo	aa
Bæjarpóstinn	Bæjarpóstur	nkeogs
sem	sem	ct
kemur	koma	sfg3en
út	út	aa
aðrar	annar	fovfo
vikur	vika	nvfo
en	en	c
þær	sá	favfo
sem	sem	ct
Norðurslóð	Norðurslóð	nven-s
kemur	koma	sfg3en
út	út	aa
.	.	pl

Dagur	Dagur	nken-s
var	vera	sfg3eþ
opnaður	opna	sþgken
á	á	af
vefnum	vefur	nkeþg
föstudaginn	föstudagur	nkeog
5.	5.	ta
ágúst	ágúst	nkeo
2005	2005	ta
.	.	pl

Starfsfólk	starfsfólk	nhen
við	við	af
vefinn	vefur	nkeog
eru	vera	sfg3fn
:	:	pa
Hjörleifur	Hjörleifur	nken-s
Hjartarson	Hjartarson	nken-s
sími	sími	nken
861-8884	861-8884	ta
hjhj@dagur.net	hjhj@dagur.net	v
Halldór	Halldór	nken-s
Ingi	Ingi	nken-s
Ásgeirsson	Ásgeirsson	nken-s
sími	sími	nken
847-5446	847-5446	ta
halldor@dagur.net	halldor@dagur.net	x
Jóhann	Jóhann	nken-s
Antonsson	Antonsson	nken-s
ábm.	ábm.	ks
sími	sími	nken
894	894	ta
1861	1861	ta
ja@dagur.net	ja@dagur.net	v

Skrifstofa	skrifstofa	nven
útgáfunnar	útgáfa	nveeg
er	vera	sfg3en
að	að	af
Hafnartorgi	Hafnartorg	nheþ-s
,	,	pk
620	620	ta
Dalvík	Dalvík	nveþ-s

Auglýsingar	auglýsing	nvfn

Auglýsingasími	auglýsingasími	nken
er	vera	sfg3en
466	466	ta
1300	1300	ta
eða	eða	c
Jóhann	Jóhann	nken-s
í	í	af
síma	sími	nkeþ
894	894	ta
1861	1861	ta
,	,	pk
netfang	netfang	nhen
ja@dagur.net	ja@dagur.net	v
.	.	pl

Ferðir	ferð	nvfn
og	og	c
ferðalög	ferðalag	nhfn

Ert	vera	sfg2en
þú	þú	fp2en
á	á	af
ferðinni	ferð	nveþg
?	?	pl

Þarftu	þurfa	sfg2en
að	að	cn
ná	ná	sng
í	í	af
rútu	rúta	nveo
eða	eða	c
bóka	bóka	sng
flug	flug	nheo
?	?	pl

Ferðatorgið	ferðatorg	nheng
á	á	af
dagur.net	dagur.net	v
auðveldar	auðvelda	sfg3en
þér	þú	fp2eþ
að	að	cn
komast	koma	snm
þangað	þangað	aa
sem	sem	c
þú	þú	fp2en
ætlar	ætla	sfg2en
þér	þú	fp2eþ
.	.	pl

Hér	hér	aa
eru	vera	sfg3fn
áætlanir	áætlun	nvfn
bíla	bíll	nkfe
,	,	pk
báta	bátur	nkfe
og	og	c
flugvéla	flugvél	nvfe
sem	sem	ct
tengjast	tengja	sfm3fn
Eyjafjarðarsvæðinu	Eyjafjarðarsvæði	nheþgs
og	og	c
langt	langt	aa
út	út	aa
fyrir	fyrir	af
það	það	fpheo
.	.	pl

Rútur	rúta	nvfn
og	og	c
Strætó	strætó	nken-s

Akureyri	Akureyri	nven-s
-	-	pa
Dalvík	Dalvík	nven-s
-	-	pa
Ólafsfjörður	Ólafsfjörður	nken-s

Akureyri	Akureyri	nven-s
-	-	pa
Reykjavík	Reykjavík	nven-s

Akureyri	Akureyri	nven-s
-	-	pa
Húsavík	Húsavík	nven-s
-	-	pa
Þórshöfn	Þórshöfn	nven-s

Akureyri	Akureyri	nven-s
-	-	pa
Mývatn	Mývatn	nhen-s
-	-	pa
Egilsstaðir	Egilsstaðir	nkfn-s

Siglufjörður	Siglufjörður	nken-s
-	-	pa
Sauðárkrókur	Sauðárkrókur	nken-s

SVA	SVA	n----s
Strætisvagnar	Strætisvagn	nkfn-s
Akureyrar	Akureyri	nvee-s

Ferjur	ferja	nvfn

Grímseyjarferjan	Grímseyjarferja	nvengs

Hríseyjarferjan	Hríseyjarferjan	nvengs

Flug	flug	nhen

Innanlands	innanlands	aa

Millilanda	millilanda	aa

Dohop	Dohop	n----s

Fleiri	margur	lkfnvm
ferðavefir	ferðavefur	nkfn

Samferða.net	samferða.net	v
Norðurland.is	norðurland.is	v

Útivist	útivist	nven
og	og	c
tómstundir	tómstund	nvfn

Óvíða	óvíða	aa
er	vera	sfg3en
aðstaða	aðstaða	nven
til	til	af
útivistar	útivist	nvee
betri	góður	lvenvm
en	en	c
við	við	af
Eyjafjörðinn	Eyjafjörður	nkeogs
.	.	pl

Hér	hér	aa
er	vera	sfg3en
hægt	hægur	lhensf
að	að	cn
skoða	skoða	sng
ástandið	ástand	nheog
á	á	af
skíðasvæðunum	skíðasvæði	nhfþg
,	,	pk
opnun	opnun	nveo
sundstaða	sundstaður	nkfe
,	,	pk
áætlanir	áætlun	nvfo
ferðafélaga	ferðafélag	nhfe
og	og	c
fleira	margur	lheovm
sem	sem	ct
tengist	tengja	sfm3en
útivist	útivist	nveþ
.	.	pl

Skíðasvæðin	skíðasvæði	nhfng

Siglufjörður	Siglufjörður	nken-s

Ólafsfjörður	Ólafsfjörður	nken-s

Dalvík	Dalvík	nven-s

Akureyri	Akureyri	nven-s

Gönguferðir	gönguferð	nvfn

Áætlanir	áætlun	nvfn
ferðafélaga	ferðafélag	nhfe
og	og	c
klúbba	klúbbur	nkfe

-	-	pa
Ferðafélag	Ferðafélag	nhen-s
Akureyrar	Akureyri	nvee-s
-	-	pa
Ferðafélagið	Ferðafélag	nhengs
Trölli	Trölli	nken-s
Ólafsfirði	Ólafsfjörður	nkeþ-s
-	-	pa
Ferðafélag	Ferðafélag	nhen-s
Svarfdæla	Svarfdælir	nkfe-s
-	-	pa
Ferðafélagið	Ferðafélag	nhengs
Hörgur	Hörgur	nken-s
-Ferðafélag	ferðafélag	nhen-s
Íslands	Ísland	nhee-s
-	-	pa
Íslenskir	íslenskur	lkfnsf
fjallaleiðsögumenn	fjallaleiðsögumaður	nkfn

Sundlaugar	sundlaug	nvfn

Siglufjörður	Siglufjörður	nken-s

Ólafsfjöðrður	Ólafsfjörður	x

Dalvík	Dalvík	nven-s

Þelamörk	Þelamörk	nven-s

Akureyri	Akureyri	nven-s

Hrafnagil	Hrafnagil	nhen-s

Svalbarðseyri	Svalbarðseyri	nven-s

Grenivík	Grenivík	nven-s

Grímsey	Grímsey	nven-s

Menning	menning	nven
og	og	c
afþreying	afþreying	nven

Hvergi	hvergi	aa
á	á	af
landinu	land	nheþg
utan	utan	af
höfuðborgarsvæðisins	höfuðborgarsvæði	nheeg
er	vera	sfg3en
fjölskrúðugra	fjölskrúðugur	lhenvm
menningarlíf	menningarlíf	nhen
eða	eða	c
meira	mikill	lhenvm
framboð	framboð	nhen
af	af	af
afþreyingu	afþreying	nveþ
ýmis	ýmis	fokee
konar	konar	nkee
en	en	c
á	á	af
Eyjafjarðarsvæðinu	Eyjafjarðarsvæði	nheþgs
.	.	pl

Hér	hér	aa
er	vera	sfg3en
sinfóníuhljómsveit	sinfóníuhljómsveit	nven
,	,	pk
fjölbreytt	fjölbreyttur	lhensf
leikhúslíf	leikhúslíf	nhen
,	,	pk
listasafn	listasafn	nhen
og	og	c
fjöldi	fjöldi	nken
annarra	annar	fohfe
safna	safn	nhfe
,	,	pk
sýningarsalir	sýningarsalur	nkfn
,	,	pk
kvikmyndahús	kvikmyndahús	nhfn
,	,	pk
veitingahús	veitingahús	nhfn
og	og	c
knæpur	knæpa	nvfn
.	.	pl

Þá	þá	aa
eru	vera	sfg3fn
starfandi	starfa	slg
á	á	af
svæðinu	svæði	nheþg
um	um	aa
20	20	ta
kórar	kór	nkfn
,	,	pk
og	og	c
fjöldi	fjöldi	nken
smærri	smár	lkfevm
sönghópa	sönghópur	nkfe
og	og	c
hljómsveita	hljómsveit	nvfe
svo	svo	aa
iðkendur	iðkandi	nkfn
tónlistar	tónlist	nvee
skipta	skipta	sfg3fn
hundruðum	hundrað	nhfþ
.	.	pl

Á	á	af
svæðinu	svæði	nheþg
eru	vera	sfg3fn
5	5	ta
tónlistarskólar	tónlistarskóli	nkfn
,	,	pk
þáttakendur	þáttakandi	nkfn
í	í	af
leikstarfi	leikstarf	nheþ
áhugaleikfélaganna	áhugaleikfélag	nhfeg
eru	vera	sfg3fn
sömuleiðis	sömuleiðis	aa
mýmargir	mýmargur	lkfnsf
og	og	c
bein	beinn	lvensf
þátttaka	þátttaka	nven
í	í	af
menningarlífinu	menningarlíf	nheþg
almenn	almennur	lvensf
.	.	pl

Bíó	bíó	nhfn

Leikhús	leikhús	nhfn

Borgarbíó	Borgarbíó	nhen-s
Akureyri	Akureyri	nveþ-s

Nýja	nýr	lhenvf
Bíó	Bíó	nhen-s
(	(	pa
Sambíóin	Sambíó	nhfngs
)	)	pa
Akureyri	Akureyri	nveþ-s

Leikfélag	Leikfélag	nhen-s
Akureyrar	Akureyri	nvee-s

Leikfélag	Leikfélag	nhen-s
Dalvíkur	Dalvík	nvee-s

Freyvangsleikhúsið	Freyvangsleikhús	nhengs

Söfn	safn	nhfn

Listasafnið	Listasafn	nhengs
á	á	af
Akureyri	Akureyri	nveþ-s

Síldarminjasafnið	Síldarminjasafn	nhengs
á	á	af
Siglufirði	Siglufjörður	nkeþ-s

Byggðasafnið	Byggðasafn	nhengs
Hvoll	Hvoll	nken-s
Dalvík	Dalvík	nveþ-s

Minjasafnið	Minjasafn	nhengs
á	á	af
Akureyri	Akureyri	nveþ-s

Safnasafnið	Safnasafn	nhengs
Svalbarðsströnd	Svalbarðsströnd	nveþ-s

Smámunasafnið	Smámunasafn	nhengs
Eyjafjarðarsveit	Eyjafjarðarsveit	nveþ-s

Laufás	Laufás	nken-s

Hitt	hinn	fahen
og	og	c
þetta	þessi	fahen

Nokkrar	nokkur	fovfn
netsíður	netsíða	nvfn
sem	sem	ct
geta	geta	sfg3fn
komið	koma	sþghen
sér	sig	fpvfþ
vel	vel	aa
og	og	c
auðveldað	auðvelda	sþghen
þér	þú	fp2eþ
róðurinn	róður	nkeog
í	í	af
amstri	amstur	nheþ
daganna	dagur	nkfeg
.	.	pl

Hér	hér	aa
er	vera	sfg3en
að	að	cn
finna	finna	sng
ýmsar	ýmis	fovfo
hagnýtar	hagnýtur	lvfosf
og	og	c
e.t.v.	e.t.v.	ks
óhagnýtar	óhagnýtur	lvfosf
upplýsingar	upplýsing	nvfo
fyrir	fyrir	af
nútímafólk	nútímafólk	nheo
hvar	hvar	aa
sem	sem	c
er	vera	sfg3en
í	í	af
heiminum	heimur	nkeþg
.	.	pl

Dagskrá	dagskrá	nven
sjónvarpsstöðva	sjónvarpsstöð	nvfe

Gjaldmiðlabreytir	gjaldmiðlabreytir	nken

Leit	leit	nven
að	að	af
heimilisfangi	heimilisfang	nheþ

Símaskráin	símaskrá	nveng

Erlendar	erlendur	lvfnsf
símaskrár	símaskrá	nvfn

Senda	senda	sng
SMS	SMS	ks

Senda	senda	sng
MMS	MMS	ks

Leitarsíður	leitarsíða	nvfn

Föstudagur	föstudagur	nken
5.	5.	ta
ágúst	ágúst	nkeo
05	05	ta
Inga	Inga	nven-s
Jóhannesdóttir	Jóhannesdóttir	nven-s
í	í	af
Grímsey	Grímsey	nveþ-s

Fædd	fæða	sþgven
20.júní	20.júní	nkeo
1874	1874	ta
,	,	pk
dáin	dáinn	lvensf
18.júní	18.júní	nkeo
1975	1975	ta

Það	það	fphen
var	vera	sfg3eþ
vor	vor	nhen
í	í	af
sögu	saga	nveþ
Íslands	Ísland	nhee-s
árið	ár	nheog
1874	1874	ta
.	.	pl

Nýir	nýr	lkfnsf
straumar	straumur	nkfn
léku	leika	sfg3fþ
um	um	af
þjóðlífið	þjóðlíf	nheog
og	og	c
það	það	fphen
hrikti	hrikta	sfg3eþ
í	í	af
gamalgrónu	gamalgróinn	lheþsf
bændasamfélagi	bændasamfélag	nheþ
þar	þar	aa
sem	sem	c
nánast	náið	aae
allt	allur	fohen
hafði	hafa	sfg3eþ
setið	sitja	sþghen
við	við	af
það	sá	faheo
sama	samur	fbheo
í	í	af
árhundruðir	árhundrað	nvfo
.	.	pl

Í	í	af
tilefni	tilefni	nheþ
eitt	eitt	to
þúsund	þúsund	tfhfe
ára	ár	nhfe
afmælis	afmæli	nhee
Íslandsbyggðar	Íslandsbyggð	nvee-s
fengu	fá	sfg3fþ
Íslandingar	Íslendingur	nkfn-s
stjórnarskrá	stjórnarskrá	nveo
það	sá	faheo
ár	ár	nheo
og	og	c
þó	þó	aa
hún	hún	fpven
væri	vera	svg3eþ
ekki	ekki	aa
fullkomin	fullkominn	lvensf
að	að	af
mati	mat	nheþ
framfarasinna	framfarasinni	nkfe
þeirra	sá	fakfe
tíma	tími	nkfe
þótti	þykja	sfg3eþ
mönnum	maður	nkfþ
samt	samt	aa
að	að	c
þar	þar	aa
væri	vera	svg3eþ
komin	koma	sþgven
undirstaða	undirstaða	nven
til	til	af
að	að	cn
byggja	byggja	sng
á	á	af
framfarir	framför	nvfo
landsins	land	nheeg
á	á	af
komandi	komandi	lkfþof
tímum	tími	nkfþ
.	.	pl

Og	og	c
tæknibreytingar	tæknibreyting	nvfn
næstu	næstur	lkfeve
áratuga	áratugur	nkfe
,	,	pk
sérstaklega	sérstaklega	aa
að	að	af
því	sá	faheþ
er	er	ct
varðar	varða	sfg3en
sjávarútveginn	sjávarútvegur	nkeog
sem	sem	aa
og	og	c
nýjar	nýr	lvfnsf
hugmyndir	hugmynd	nvfn
manna	maður	nkfe
um	um	af
menntun	menntun	nveo
og	og	c
lýðréttindi	lýðréttindi	nhfo
skópu	skapa	sfg3fþ
