Sálfræðingur	sálfræðingur	nken

Laust	laus	lhensf
er	vera	sfg3en
til	til	af
umsóknar	umsókn	nvee
starf	starf	nhen
sálfræðings	sálfræðingur	nkee
á	á	af
fagsviði	fagsvið	nheþ
þroskahamlana	þroskahömlun	nvfe
.	.	pl

Starfið	starf	nheng
felst	fela	sfm3en
einkum	einkum	aa
í	í	af
greiningu	greining	nveþ
og	og	c
ráðgjöf	ráðgjöf	nveþ
vegna	vegna	af
barna	barn	nhfe
með	með	af
fatlanir	fötlun	nvfo
og	og	c
aðrar	annar	fovfo
alvarlegrar	alvarlegur	lvfosf
raskanir	röskun	nvfo
í	í	af
taugaþroska	taugaþroski	nkeþ
.	.	pl

Starfið	starf	nheng
fer	fara	sfg3en
fram	fram	aa
í	í	af
nánu	náinn	lheþsf
samstarfi	samstarf	nheþ
við	við	af
aðra	annar	fokfo
sérfræðinga	sérfræðingur	nkfo
á	á	af
þessu	þessi	faheþ
sviði	svið	nheþ
.	.	pl

Auk	auk	af
þessa	þessi	fahee
er	vera	sfg3en
um	um	af
að	að	cn
ræða	ræða	sng
þátttöku	þátttaka	nveo
í	í	af
rannsóknar-	rannsóknarstarf	kt
og	og	c
fræðslustarfi	fræðslustarf	nheþ
stofnunarinnar	stofnun	nveeg
.	.	pl

Leitað	leita	sþghen
er	vera	sfg3en
eftir	eftir	af
sálfræðingi	sálfræðingur	nkeþ
,	,	pk
sem	sem	ct
hyggur	hyggja	sfg3en
á	á	af
starfsferil	starfsferill	nkeo
á	á	af
þessum	þessi	fakeþ
vettvangi	vettvangur	nkeþ
.	.	pl

Æskileg	æskilegur	lvensf
er	vera	sfg3en
reynsla	reynsla	nven
á	á	af
sviði	svið	nheþ
greiningar	greining	nvee
þroskafrávika	þroskafrávik	nhfe
hjá	hjá	af
börnum	barn	nhfþ
og	og	c
áhugi	áhugi	nken
á	á	af
fræðslu	fræðsla	nveþ
og	og	c
rannsóknum	rannsókn	nvfþ
.	.	pl

Mikilvægt	mikilvægur	lhensf
er	vera	sfg3en
að	að	af
viðkomandi	viðkomandi	lkenof
búi	búa	svg3en
yfir	yfir	af
hæfni	hæfni	nveþ
í	í	af
mannlegum	mannlegur	lhfþsf
samskiptum	samskipti	nhfþ
og	og	c
sé	vera	svg3en
tilbúinn	tilbúinn	lkensf
til	til	af
þátttöku	þátttaka	nvee
í	í	af
þverfaglegu	þverfaglegur	lheþsf
samstarfi	samstarf	nheþ
.	.	pl

Boðið	bjóða	sþghen
er	vera	sfg3en
upp	upp	aa
á	á	af
handleiðslu	handleiðsla	nveo
.	.	pl

Laun	laun	nhfn
greiðast	greiða	sfm3fn
skv.	skv.	ks
kjarasamningi	kjarasamningur	nkeþ
viðkomandi	viðkomandi	lheeof
stéttarfélags	stéttarfélag	nhee
við	við	af
ríkissjóð	ríkissjóður	nkeo
.	.	pl

Frekari	frekur	lvfovm
upplýsingar	upplýsing	nvfo
gefur	gefa	sfg3en
sviðsstjóri	sviðsstjóri	nken
fagssviðs	fagssvið	nhee
þroskahamlana	þroskahömlun	nvfe
í	í	af
síma	sími	nkeþ
og	og	c
netfangi	netfang	nheþ
.	.	pl

Umsóknir	umsókn	nvfn
,	,	pk
ásamt	ásamt	af
upplýsingum	upplýsing	nvfþ
um	um	af
menntun	menntun	nveo
og	og	c
fyrri	fyrri	lhfovm
störf	starf	nhfo
,	,	pk
berist	bera	svm3fn
Greiningar-	greiningarstöð	kt
og	og	c
ráðgjafarstöð	ráðgjafarstöð	nveþ
ríkisins	ríki	nheeg
,	,	pk
Digranesvegi	Digranesvegur	nkeþ-s
5	5	ta
,	,	pk
200	200	ta
Kópavogi	Kópavogur	nkeþ-s
fyrir	fyrir	af
2.	2.	ta
júní	júní	nkeo
nk.	nk.	ks

XXI.	xxi.	ta

Vornámskeið	vornámskeið	nhfn
Greiningarstöðvar	Greiningarstöð	nvee-s
11.	11.	ta
og	og	c
12.	12.	ta
maí	maí	nkeo
2006	2006	ta
Hegðun	hegðun	nven
-	-	pa
Erfðir	erfð	nvfn
og	og	c
umhverfi	umhverfi	nhen

Fimmtudagur	fimmtudagur	nken
11.	11.	ta
maí	maí	nkeo
Setning	setning	nven
:	:	pa
Jón	Jón	nken-s
Kristjánsson	Kristjánsson	nken-s
,	,	pk
félagsmálaráðherra	félagsmálaráðherra	nken
.	.	pl

Hegðun	hegðun	nven
og	og	c
heili	heili	nken
-	-	pa
líffræði	líffræði	nven
hegðunar	hegðun	nvee

Pétur	Pétur	nken-s
Lúðvígsson	Lúðvígsson	nken-s
,	,	pk
barnalæknir	barnalæknir	nken
Barnaspítala	Barnaspítali	nkeþ-s
Hringsins	Hringur	nkeegs
.	.	pl

Hegðun	hegðun	nven
og	og	c
umhverfi	umhverfi	nhen
-	-	pa
áhrif	áhrif	nhfn
uppeldis	uppeldi	nhee

Birna	Birna	nven-s
María	María	nven-s
Svanbjörnsdóttir	Svanbjörnsdóttir	nven-s
,	,	pk
