23.1.2006	23.1.2006	ta

Falinn	falinn	lkensf
(	(	pa
Caché	Caché	n----s
)	)	pa

Á	á	af
frönsku	franskur	lveþvf
kvikmyndahátíðinni	kvikmyndahátíð	nveþg
í	í	af
Háskólabíói	Háskólabíó	nheþ-s
er	vera	sfg3en
sýnd	sýna	sþgven
myndin	mynd	nveng
Caché	Caché	n----s
,	,	pk
eða	eða	c
Falinn	falinn	lkensf
,	,	pk
með	með	af
Juliette	Juliette	n----s
Binoche	Binoche	n----s
og	og	c
Daniel	Daniel	n----s
Auteuil	Auteuil	n----s
í	í	af
aðalhlutverkum	aðalhlutverk	nhfþ
.	.	pl

Myndin	mynd	nveng
hefur	hafa	sfg3en
farið	fara	sþghen
sigurför	sigurför	nveo
um	um	af
heiminn	heimur	nkeog
og	og	c
var	vera	sfg3eþ
tilnefnd	tilnefna	sþgven
til	til	af
Gullpálmans	Gullpálmi	nkeegs
á	á	af
Cannes	Cannes	n----s
síðastliðið	síðastliðinn	lheosf
vor	vor	nheo
.	.	pl

Hún	hún	fpven
laut	lúta	sfg3eþ
í	í	af
lægra	lágur	lheþvm
haldi	hald	nheþ
fyrir	fyrir	af
belgísku	belgískur	lveþvf
myndinni	mynd	nveþg
Barnið	Barn	nhengs
,	,	pk
mynd	mynd	nveþ
sem	sem	ct
ég	ég	fp1en
fjallaði	fjalla	sfg1eþ
um	um	aa
fyrir	fyrir	af
jól	jól	nhfo
og	og	c
var	vera	sfg1eþ
ekki	ekki	aa
sérlega	sérlega	aa
hrifin	hrifinn	lvensf
af	af	aa
.	.	pl

Caché	Caché	n----s
fékk	fá	sfg3eþ
hins	hinn	fakee
vegar	vegur	nkee
gagnrýnendaverðlaun	gagnrýnendaverðlaun	nhfo
á	á	af
Cannes	Cannes	n----s
,	,	pk
einnig	einnig	aa
verðlaun	verðlaun	nhfo
fyrir	fyrir	af
bestu	góður	lveove
leikstjórn	leikstjórn	nveo
og	og	c
sérstök	sérstakur	lhfosf
verðlaun	verðlaun	nhfo
dómnefndar	dómnefnd	nvee
.	.	pl

Hún	hún	fpven
hlaut	hljóta	sfg3eþ
auk	auk	af
þess	það	fphee
Evrópsku	evrópskur	lhfovf
kvikmyndaverðlaunin	kvikmyndaverðlaun	nhfog
.	.	pl

Myndin	mynd	nveng
segir	segja	sfg3en
frá	frá	af
hjónunum	hjón	nhfþg
Georges	Georges	n----s
og	og	c
Anne	Anne	n----s
,	,	pk
sem	sem	ct
lifa	lifa	sfg3fn
þægilegu	þægilegur	lheþsf
lífi	líf	nheþ
meðal	meðal	af
menntaðrar	menntaður	lveesf
millistéttar	millistétt	nvee
Parísar	París	nvee-s
.	.	pl

Eru	vera	sfg3fn
í	í	af
bókmenntaelítunni	bókmenntaelíta	nveþg
,	,	pk
hann	hann	fpken
stjórnar	stjórna	sfg3en
sjónvarpþætti	sjónvarpþáttur	nkeþ
með	með	af
djúpum	djúpur	lvfþsf
bókmenntaumræðum	bókmenntaumræða	nvfþ
en	en	c
hún	hún	fpven
vinnur	vinna	sfg3en
hjá	hjá	af
útgáfu	útgáfa	nveþ
.	.	pl

Lífið	líf	nheng
fer	fara	sfg3en
smám	smám	aa
saman	saman	aa
úr	úr	af
skorðum	skorða	nvfþ
þegar	þegar	c
þeim	það	fphfþ
fara	fara	sfg3fn
að	að	cn
berast	bera	snm
nafnlausar	nafnlaus	lvfnsf
sendingar	sending	nvfn
,	,	pk
spólur	spóla	nvfn
sem	sem	ct
sýna	sýna	sfg3fn
þau	það	fphfo
fyrir	fyrir	af
framan	framan	aa
heimili	heimili	nheo
þeirra	það	fphfe
ásamt	ásamt	af
ógnvænlegum	ógnvænlegur	lvfþsf
teikningum	teikning	nvfþ
.	.	pl

Smám	smám	aa
saman	saman	aa
verða	verða	sfg3fn
upptökurnar	upptaka	nvfng
persónulegri	persónulegur	lvfnvm
og	og	c
ljóst	ljós	lhensf
er	vera	sfg3en
að	að	c
sendandinn	sendandi	nkeng
hefur	hafa	sfg3en
þekkt	þekkja	sþghen
Georges	Georges	n----s
lengi	lengi	aa
.	.	pl

Leikstjóri	leikstjóri	nken
myndarinnar	mynd	nveeg
Michael	Michael	n----s
Haneke	Haneke	n----s
hefur	hafa	sfg3en
gert	gera	sþghen
fjölda	fjöldi	nkeo
áhugaverðra	áhugaverður	lvfesf
mynda	mynd	nvfe
svo	svo	aa
sem	sem	c
Code	Code	n----s
inconnu	inconnu	e
,	,	pk
La	La	n----s
Pianiste	Pianiste	e
og	og	c
Funny	Funny	n----s
Games	Games	e
.	.	pl

Hann	hann	fpken
hefur	hafa	sfg3en
einstakt	einstakur	lheosf
lag	lag	nheo
á	á	af
að	að	cn
hræra	hræra	sng
upp	upp	aa
í	í	af
áhorfendum	áhorfandi	nkfþ
og	og	c
koma	koma	sng
þeim	hann	fpkfþ
óþægilega	óþægilega	aa
á	á	af
óvart	óvar	lheosf
.	.	pl

